币种,流通市值,全球指数,24H成交额,流通数量,24H涨幅
ENTS-EUNOMIA,¥103.5万,¥0.00006293,¥10292.77,164.47亿*,+0.78%
EVI-Evimeria,¥103.46万,¥0.00006667,¥484.41,155.19亿,+20.19%
HUR-Hurify,¥102.11万,¥0.005474,¥9311.53,1.87亿,-4.16%
UTO-优旅链,¥100.42万,¥0.1116,¥1402.42,900万*,-3.29%
WIZ-CrowdWiz,¥97.3万,¥0.1242,¥314.14,783.32万*,+7.34%
ZJLT-ZJLT,¥96.22万,¥0.001375,¥32.25万,7亿*,+8.03%
DIT-DIT,¥93.98万,¥0.004481,¥11617.03,2.1亿,-25.37%
NDX-nDEX,¥92.94万,¥0.00006203,¥21261.06,149.83亿,+4.32%
BIGE-BIGE,¥91.68万,¥0.1528,--,600万*,-0.08%
VOCO-Provoco Token,¥89.22万,¥0.006021,¥47.87万,1.48亿,-4.44%
TKA-Tokia,¥87.51万,¥0.020768,¥2471.44,"4,213.54万",+12.44%
BEFC-BEFC,¥85.93万,¥0.6667,¥26.66万,128.9万*,+2.97%
SER-Seratio Token,¥85.59万,¥0.028529,¥635.97,"3,000万*",+13.30%
HELP-GoHelpFund,¥84.67万,¥0.2692,¥37608.03,314.55万,-4.92%
NXCT-New XChain Token,¥84.11万,¥0.000572,--,14.7亿*,+6.04%
LOTO-Lotoblock,¥81.86万,¥0.000819,¥43382.97,10亿*,-29.17%
BCT-币森币,¥80.21万,¥0.001604,--,5亿,+3.53%
NER-Nerves,¥77.11万,¥0.000237,¥86.5095,32.59亿,+4.92%
DRCT-DRC Token,¥72.74万,¥0.005595,¥7608.79,1.3亿*,+3.91%
MASH-MASTERNET,¥70.48万,¥0.022243,¥17464.52,"3,168.67万",-3.15%
CRC-CryCash,¥70.36万,¥0.1546,¥3287.71,455.16万,-10.98%
DOR-Dorado,¥68.52万,¥0.001927,¥1225.75,3.56亿,+7.17%
JLL-教链,¥67.69万,¥0.000564,¥61878.16,12亿*,+10.70%
BMH-BlockMesh,¥67.67万,¥0.007553,¥1621.18,"8,959.85万",+12.30%
BCG-BCG Chain,¥66.9万,¥0.006690,¥36479.34,1亿*,-19.78%
KNT-Knekted,¥65.03万,¥0.003251,¥0.1814,2亿*,-1.26%
SOL-Sola Token,¥62.98万,¥0.021689,¥693.53,"2,903.92万",+0.48%
VAT-价值通证,¥59.21万,¥0.5921,--,100万*,-15.33%
IG-爱奇,¥57.23万,¥0.000311,¥43.44万,18.38亿,+0.97%
DTRC-Datarius Credit,¥55.54万,¥0.004347,"¥1,086.07万",1.28亿,+0.13%
WTE-Witee,¥55.16万,¥0.004598,¥3558.46,1.2亿*,-2.68%
PKG-PKG Token,¥54.89万,¥0.00006120,¥79921.08,89.69亿,+44.50%
VIEW-View,¥53.32万,¥0.015196,¥210.61,"3,508.83万",-21.33%
ECT-ECT,¥53.31万,¥0.000485,--,11亿*,+42.57%
FBN-Fivebalance,¥51.03万,¥0.00003129,¥57456.49,163.09亿*,+3.43%
LOVC-爱酒链,¥49.14万,¥0.000983,¥5148.22,5亿*,+3.25%
DART-DarexTravel,¥48.94万,¥0.00000582,¥6641.12,841.64亿,-18.45%
SOUL-CryptoSoul,¥45.48万,¥0.004203,¥42954.24,1.08亿*,+2.50%
BZ-BiClub Token,¥43.68万,¥0.020318,--,"2,150万*",+1.98%
WIT-智慧链,¥40.1万,¥0.000286,¥214.33万,14亿*,-30.96%
XOV-XOVBank,¥39.72万,¥0.005544,¥49230.88,"7,164.95万",-8.64%
VIKKY-VikkyToken,¥39.22万,¥0.000105,¥83659.19,37.27亿,+68.33%
VOC-语音链,¥38.39万,¥0.000768,¥4491.93,5亿,-27.05%
WTN-WaleTokeN,¥37.81万,¥0.00002582,¥18719.83,146.44亿*,+3.04%
TOTO-Tourist Token,¥37.75万,¥0.00008017,¥13.73万,47.1亿,+10.91%
SNR-SONDER,¥36.93万,¥0.003116,¥42703.84,1.19亿*,+2.38%
TYPE-Typerium,¥36.8万,¥0.004946,¥52.2264,"7,441.38万*",-39.09%
MORPH-Morpheus Network,¥36.09万,¥0.012170,¥2851.16,"2,965.77万",+9.99%
SAKE-SAKECOIN,¥34.81万,¥0.00008723,¥100.92,39.91亿*,+183.15%
CYMT-CyberMusic,¥34.63万,¥0.00002423,¥36489.86,142.94亿,+1.74%
CYL-Crystal Token,¥30.6万,¥0.5422,¥9.8989,56.44万,+1.16%
MICRO-Micromines,¥29.27万,¥0.00002091,¥5614.68,139.99亿*,+6.99%
NRP-Neural Protocol,¥28.73万,¥0.00003904,¥13.29万,73.58亿,+7.23%
NFSC-食安币,¥26.92万,¥0.00005607,--,48亿*,-0.14%
GRMD-GreenMed,¥24.24万,¥0.017051,¥1689.93,"1,421.91万",-8.03%
EES-超级能源,¥21.6万,¥0.044998,¥2051.23,480万*,-11.76%
ZNT-ZNT,¥20.71万,¥0.00003371,¥23106.13,61.41亿*,+3.18%
APC-Alpha Coin,¥18.74万,¥0.005065,¥57.4095,"3,700万",+34.77%
BTR-Bitether,¥18.51万,¥0.007830,¥25450.81,"2,364.22万",+4.92%
DATP-DATP,¥16.87万,¥0.00001862,¥15518.03,90.6亿,+4.67%
DELTA-DeltaChain,¥14.98万,¥0.00003344,¥16869.23,44.79亿,+3.93%
FNTB-Fintab,¥14.25万,¥0.051263,¥751.68,277.94万,+13.92%
HAVY-Havy,¥12.68万,¥0.00002492,¥22751.12,50.87亿,+6.82%
BNC-Bionic,¥12.47万,¥0.000233,¥64261.34,5.36亿,+10.96%
MFTU-MFTU,¥11.91万,¥0.000486,¥14184.01,2.45亿,+5.47%
JOINT-Joint Ventures,¥10.57万,¥0.004833,¥8970.37,"2,187.81万",+25.85%
UCC-U链,¥10.38万,¥0.003461,--,"3,000万*",0%
CTRT-Cryptrust,¥99074.55,¥0.00001869,¥16424.44,53亿,-16.08%
HEY-美丽链,¥98345.45,¥0.000983,¥64.3558,1亿*,-11.74%
IMP-IMP,¥85327.35,¥0.1933,¥42411.49,44.15万,+2.90%
BTCONE-BitCoin One,¥70889.58,¥0.007089,¥1930.84,"1,000万",+5.03%
YLC-YoloCash,¥68078.34,¥0.002308,¥8660.99,"2,949.94万",-8.88%
STR-Staker,¥51472.20,¥0.045967,¥24.9124,111.98万,-23.85%
CMCT-CMCT,¥42921.43,¥0.00000215,¥18211.49,200亿,+10.71%
AIRDROP-AirdropToken,¥36628.59,¥0.00002818,¥85441.19,13亿*,-3.70%
SIM-Simmitri,¥14647.06,¥0.016317,¥265.69,89.77万,+3.56%
MODX-MODEL-X-coin,¥14587.67,¥0.3332,¥33.6179,43783,+5.79%
CTIC3-Coimatic 3.0,¥9043.84,¥0.004003,¥12.0076,225.95万,+11.96%
WIKI-Wiki Token,--,¥2.5621,¥91.6万,--,+5.39%
F1C-Future1coin,--,¥0.014815,¥8224.85,--,-13.94%
XMCT-海医币,--,--,--,2.45亿,0%
ZBTC-中比特币,--,--,--,160万*,0%
HSN-Helper Search Token,--,¥0.00000644,¥44859.67,--,+3.33%
HERO-Hero,--,¥0.1887,¥703.36,--,-22.36%
IHF-IHF,--,¥0.1085,¥2216.34,--,-10.91%
IXE-IXTUS Edutainment,--,--,--,"2,384.97万",0%
JSE-JSEcoin,--,--,--,4.43亿*,0%
KAT-Kambria,--,¥0.2060,¥601.98万,--*,+1.09%
LML-LML,--,¥0.6694,¥39507.37,--,0%
MESSE-MESSE TOKEN,--,¥0.1069,¥38.96万,--,-8.94%
MOM-MomToken,--,--,--,1亿*,0%
MVPT-MVPT,--,--,--,6亿*,0%
NEAL-Coineal Token,--,¥0.033229,--,--*,+10.85%
3DB-三点半,--,--,--,20亿*,0%
AAA-Abulaba,--,¥0.008543,¥4497.40,--,-5.51%
OPQ-Opacity,--,¥0.1442,¥30679.20,--*,+4.36%
PASS-Blockpass,--,--,--,1.14亿,0%
PLY-PlayCoin [QRC20],--,¥0.2472,"¥1,244.13万",--,-2.12%
BUNNY-BunnyToken,--,--,--,1.18亿,0%
C2C-C2C System,--,--,--,3亿,0%
CARAT-CARAT,--,¥7.6130,¥117.2万,--,+5.09%
SHDW-Shadow Token,--,--,--,700万,0%
CEFS-CryptopiaFeeShares,--,¥2140.95,¥13411.42,--,+14.24%
CRE-Cybereits,--,¥0.007310,¥18761.99,--,+5.23%
DACC-DACC,--,¥0.000928,¥120.95万,--,-3.16%
DAXT-DAXT,--,¥0.042312,¥168.80,--,-0.41%
TDC-Trendercoin,--,--,--,--,0%
TKT-Twinkle,--,¥0.023316,¥91.88万,--,+69.50%
ESS-Essentia,--,¥0.008626,¥106.41万,--,+12.32%
ETU-以太宇宙,--,--,--,450亿*,0%
EXMR-EXMR,--,--,--,"1,182.01万",0%
VTHO-雷神之能,--,¥0.002371,¥97.36万,--,-4.26%
FFF-FFF News,--,--,--,--*,0%
FLOT-Fire Lotto,--,¥0.1348,¥2241.26,--,-9.34%
PWV-Wavebase,--,--,--,--,0%
WELL-WELL,--,--,--,"7,007.51万",0%
GEM-Gems,--,¥0.007304,¥9619.80,--*,-2.00%
HOLD-HOLD,--,¥0.004529,--,--,+9.02%
LST-LST,--,¥0.004743,¥2848.25,--,+2.73%
LSTR-Luna Stars,--,--,--,--,0%
ONE-Menlo One,--,--,--,3亿,0%
MGXT-MGCoinXT,--,--,--,1亿*,0%
MOC-Moss Coin,--,--,--,--,0%
MOZO-Mozo Token,--,--,--,7.57亿,0%
NEP-奶瓶,--,--,--,8亿*,0%
ALX-ALAX,--,¥0.019820,¥1180.82,--,+3.58%
ALT-Alt.Estate token,--,--,--,7.06亿,0%
ACTP-ACTP,--,--,--,48.35亿,0%
ATD-Atidium,--,--,--,--*,0%
NET-Nimiq Exchange Token,--,--,--,"1,050万",0%
OAS-OASES CHAIN,--,¥0.002002,¥5131.39,--*,-4.70%
BOB-Bob's Repair,--,--,--,"7,828.63万",0%
BUBO-Budbo,--,--,--,--,0%
PGT-Puregold Token,--,--,--,--,0%
WTL-Welltrado,--,--,--,"3,709.76万",0%
GEM-Gems,--,¥0.007305,¥9625.81,--*,-2.00%
HOLD-HOLD,--,¥0.004532,--,--,+9.02%
LST-LST,--,¥0.004741,¥2851.06,--,+2.73%
LSTR-Luna Stars,--,--,--,--,0%
ONE-Menlo One,--,--,--,3亿,0%
MGXT-MGCoinXT,--,--,--,1亿*,0%
MOC-Moss Coin,--,--,--,--,0%
MOZO-Mozo Token,--,--,--,7.57亿,0%
NEP-奶瓶,--,--,--,8亿*,0%
BTB-BiTBrothers,--,--,--,"3,456万*",0%
ONE-ONE Token,--,--,--,3.03亿,0%
OPEN-Open Platform,--,--,--,4.36亿,0%
BKB-币客积分,--,¥0.8254,--,--*,+5.02%
CAR-CarBlock,--,¥0.005849,¥33.6万,--,+0.42%
CEDEX-CEDEX Coin,--,¥0.2608,¥4410.54,--,+9.52%
RPD-Rapids,--,--,--,24.07亿,0%
REPO-Repo Coin,--,--,--,1.1亿,0%
CRBC-国际文博链,--,--,--,5亿*,0%
AOG-smART OF GIVING,--,--,--,"5,969.19万",0%
DKKT-DKK Token,--,--,¥52.43万,1亿*,0%
DOW-Dowcoin,--,--,--,--,0%
SNX-SNX,--,--,--,"6,748.23万",0%
DSCOIN-天网,--,--,--,60亿*,0%
BLACK-eosBLACK,--,¥0.1765,¥4830.43,--,+28.20%
BLUE-Blue Protocol,--,--,--,"3,664.53万",0%
UDOO-uDoo,--,¥0.099342,¥28.6万,--,+0.04%
EVN-EvenCoin,--,--,--,"1,894.54万",0%
GCT-GeekChain,--,--,--,--*,0%
GGPC-GGPC,--,--,--,189亿*,0%
XPO-神秘链,--,--,--,40亿*,0%
YEX-YEX Token,--,--,--,420.24万*,0%
GOT-GOToken,--,¥4.0126,¥27203.99,--*,+3.44%
ZAG-战歌,--,--,--,"5,000万*",0%
ZEUS-Zeus Crowdfunding,--,--,--,700亿,0%
ICNQ-Iconiq Lab Token,--,¥0.3171,¥13.61万,--,-14.83%
INCO-Incodium,--,--,--,--*,0%
FKX-Knoxstertoken,--,--,--,1.15亿,0%
LMM-LMM,--,--,--,7亿*,0%
MLC-Mallcoin,--,--,--,1.76亿,-62.94%
NEC-Nectar,--,--,--,"8,235.3万",0%
ABLX-ABLE,--,¥0.001098,¥19.1万,--,+2.12%
ALTX-Alttex,--,--,--,--,0%
BFF-BFFDoom,--,--,--,--,0%
OBX-OBXcoin,--,¥0.001459,¥134.56,--*,+55.31%
BITS-Bitcoinus,--,--,--,"4,529.43万*",0%
PXG-PlayGame,--,¥0.034047,¥636.78万,--*,-3.41%
XPX-ProximaX,--,¥0.029269,¥603.93万,--,+1.15%
C8-C8,--,--,--,"5,117.62万",0%
CODY-Coindy,--,¥0.014063,--,--*,+3.50%
ROBET-RoBET,--,--,--,79.87万,0%
CJT-ConnectJob,--,--,--,1.13亿,0%
SFU-Saifu,--,--,--,--,0%
CPLO-Cpollo,--,--,--,81.52亿,0%
CRO-CRO,--,¥0.096448,¥423.49万,--,0%
TMC-Timicoin,--,¥0.1828,¥10518.49,--*,+11.82%
UPP-Sentinel Protocol,--,¥0.095513,"¥1,475.45万",--*,+7.13%
IQ-Everipedia,--,¥0.017041,¥60.17万,--,+1.99%
ACDC-Volt,--,¥0.004966,¥111.12万,--,-6.01%
FRV-Fitrova,--,--,--,75.89亿,0%
WECC-授权链,--,--,--,19.2亿*,0%
FND-FundRequest,--,--,--,"4,707.07万",0%
WLO-Wollo,--,--,--,--*,0%
GU-谷腾,--,--,--,71亿*,0%
HHT-H网通证,--,--,--,"3,000万*",0%
ICST-ICST,--,--,--,9亿*,0%
SEE-Insee Coin,--,¥0.099619,¥17.09万,--*,+2.64%
LIVE-Live Stars,--,--,--,"3,973.09万",0%
MIB-MIB Coin,--,¥0.1444,¥108.83万,--,+2.78%
MIC-Mindexcoin,--,--,--,"1,303.73万",0%
NC-NewChat,--,--,--,30亿*,0%
NT-币诺币,--,¥0.002120,¥7059.20,--*,-0.21%
NUG-Nuggets,--,¥0.001556,--,--,+29.90%
BTNT-BitNautic Token,--,¥0.035480,¥7576.79,--,+12.54%
BC-Block-Chain.com,--,¥0.1946,¥93.4074,--,-3.69%
BOE-菩提以太,--,¥0.1194,¥65330.01,--*,+1.93%
BDB-Btcdo Token,--,--,--,--*,0%
CPG-Castle Peak Game,--,--,--,"7,350万*",0%
CEN-Centaure,--,--,--,--,0%
RGS-RusGas,--,--,--,34.16亿,0%
SPN-Sapien,--,--,--,2.01亿,0%
CHE-CHE,--,--,--,--,0%
CXE-CXE,--,--,--,2亿,0%
SPD-SPINDLE,--,¥0.006637,¥21.1万,--,-17.16%
SURE-SURETY,--,--,--,--,0%
DRINK-酒水链,--,¥6.4631,"¥1,163.92万",--*,-1.52%
UET-UET,--,--,--,396.57万,0%
EZW-EZOOW,--,--,--,111.31亿*,0%
FI-FInsur,--,¥0.048525,--,--*,-5.61%
FSBT-Forty Seven Bank,--,¥0.8648,"¥1,077.84万",--,+0.15%
FRES-FRESCO Network,--,--,--,--*,0%
FUNDZ-FundToken,--,--,--,--,0%
GEEK-极客链,--,--,--,6.13亿*,0%
XRA-Xriba,--,¥0.1946,¥21038.43,--,+20.09%
HAT-Hat.Exchange,--,--,--,144.64万,0%
IFTC-IFTC,--,--,--,11亿*,0%
IMCS-摩斯币,--,--,--,4亿*,0%
INCX-INCX,--,¥0.013565,¥21.91万,--,+6.23%
IVN-量子加密币,--,--,--,193.8亿*,0%
KBC-Karatgold Coin,--,¥0.092563,¥75.16万,--,+7.85%
DRINK-酒水链,--,¥6.4915,"¥1,163.92万",--*,-2.10%
UET-UET,--,--,--,396.57万,0%
EZW-EZOOW,--,--,--,111.31亿*,0%
FI-FInsur,--,¥0.048525,--,--*,-5.61%
FSBT-Forty Seven Bank,--,¥0.8905,"¥1,077.84万",--,+0.15%
FRES-FRESCO Network,--,--,--,--*,0%
GMB-Gamb,--,¥0.002489,¥11.34万,--*,+5.39%
HLD-HyperLending,--,--,--,1亿*,0%
MC-Market Coin,--,--,--,2亿*,0%
MXM-MaxiMine,--,¥0.075149,¥503.95万,--*,+1.01%
MEDX-MediBlocX,--,¥0.022566,¥358.15万,--*,+2.49%
NAM-NAM COIN,--,¥0.000598,¥3094.86,--,+5.50%
AGLT-Agrolot,--,--,--,--,0%
BEAT-BEAT,--,¥0.009936,¥12.47万,--*,-19.69%
BGG-Bgogo Token,--,¥0.008731,--,--,+6.73%
NGOT-恩玖币,--,--,--,12亿*,0%
NOBS-No BS Crypto,--,¥0.000961,¥109.86万,--,+4.97%
NUSD-NUSD,--,--,--,151.65万,0%
BOID-BOID,--,¥0.001313,¥5142.71,--*,-1.57%
BRZC-Breeze Coin,--,¥1.6417,¥8449.87,--*,+7.53%
PLAT-Platinum,--,¥0.003573,--,--,+20.08%
XCD-Capdax Token,--,--,--,--,0%
QBIT-Qubitica,--,--,--,--,0%
RTE-Rate3,--,¥0.008801,¥50.94万,--,+0.10%
RCD-RECORD Foundation,--,--,--,--,0%
COO-COO币,--,¥0.5020,¥62.3万,--*,-1.09%
SHOP-Shopin,--,¥0.049031,¥32688.13,--,+6.73%
SAT-SAT,--,¥0.008766,¥27623.81,--,+0.81%
DAV-DAV Token,--,¥0.019173,¥121.43万,--,-2.55%
SGCC-超级游戏链,--,--,--,--,0%
TTV-TV-TWO,--,--,--,4.08亿,0%
EXC-Eximchain,--,--,¥78815.26,"6,730.64万",0%
FOAM-FOAM Token,--,¥0.2270,¥126.96万,--,+5.47%
WYS-wys Token,--,--,--,--,0%
XYT-柔付币,--,--,--,1.39亿*,0%
XTRD-XTRD,--,¥0.004836,--,--,+35.78%
YCCC-小众文化,--,--,--,"2,200万*",0%
HYB-Hybrid Token,--,¥0.015586,¥9449.59,--*,+8.27%
HPS-HYPER PLAY,--,--,--,"4,500万*",0%
KXC-KingXChain,--,¥0.00001530,¥35394.47,--,-11.95%
MET-Metronome,--,¥3.8582,¥176.54万,--,+4.24%
MOLK-MobilinkToken,--,--,--,--,0%
NTK-NetKoin,--,¥0.000143,¥669.93,--*,+3.34%
ONOT-ONO,--,¥0.002554,¥156.43万,--*,-0.77%
ORS-ORS Group,--,--,--,--,0%
BCDT-BCDT,--,--,¥748.65,"3,113.81万",0%
BBK-Brickblock,--,¥0.002294,¥156.42,--,-36.28%
SET-点集网络,--,--,--,63亿*,0%
PUN-Punch Token,--,¥0.000816,¥5060.59,--*,+3.99%
MVP-冠军币,--,--,--,4亿*,0%
CMIT-CMITCOIN,--,--,--,--,0%
CSM-嘉信,--,¥18.8623,¥89755.44,--,+84.49%
SEAL-Seal Network,--,--,--,4.98亿,0%
SEC-赛克,--,--,--,69亿*,0%
YUP-Crowdholding,--,--,--,1.49亿,0%
SLT-SLT,--,¥0.017421,¥63594.10,--,-3.60%
DANG-当当链,--,--,--,4亿*,0%
DELC-Delink,--,¥0.081547,¥96.3万,--*,-6.70%
SET-SET,--,--,--,--,0%
THM-Themis Chain,--,¥0.001873,¥33821.35,--*,+4.64%
EST-电竞币,--,--,--,2亿*,0%
UBC-Ubcoin Market,--,--,--,--,0%
UICC-联养链,--,¥0.2220,¥39.36万,--*,-7.87%
USDC-USD Coin,--,¥6.9734,"¥6,849.23万",--*,-0.09%
UST-链云,--,¥0.030453,¥92846,--*,+2.97%
VSTR-Vestoria,--,--,--,--,0%
WIT-万通宝,--,¥0.2479,¥3507.96,--*,+4.43%
GST-Game Stars,--,¥0.002312,¥248.22万,--,+21.45%
GZE-盖思币,--,¥0.077946,¥79111,--,+5.69%
XPS-超级买,--,--,--,50亿*,0%
XRT-THE X-FACTOR,--,¥0.000156,¥351.43,--,-0.62%
HQT-HyperQuant,--,¥0.029504,¥111.39万,--*,-1.16%
IX-IX Token,--,--,--,2.7亿*,0%
JS-JavaScript Token,--,--,--,799.2万,0%
LEMO-LemoChain,--,¥0.022587,¥14.63万,--,+11.54%
LINA-Lina Review,--,¥0.1006,¥24.54万,--,-1.12%
LTH-路德链,--,--,--,3亿*,0%
MAC-婚链,--,--,--,"5,000万*",0%
ZXC-0xcert,--,¥0.011550,¥75.27万,--,+6.30%
ATMI-Atonomi,--,¥0.010116,¥29.64万,--*,+6.78%
BGX-比格币,--,¥0.001779,¥120.16万,--*,-11.69%
NOS-nOS Token,--,¥0.2717,¥109.43万,--*,+1.62%
RDC-Ordocoin,--,¥0.00004868,¥25927.30,--,+107.37%
BMC-BitMart Coin,--,¥0.063031,¥189.51,--,-3.60%
PKC-PikcioChain,--,--,--,"4,326.78万",0%
POSS-Posscoin,--,--,--,--*,0%
RBF-彩虹币,--,--,--,635万*,0%
CPS-币爪世界,--,--,--,26.4亿*,0%
SAL-SalPay,--,--,--,--,0%
COU-Couchain,--,¥0.00005069,¥11.05万,--,+16.51%
SGN-Signals Network,--,--,--,"8,800.12万",0%
CVH-简历链,--,¥0.006731,¥18.8568,--,-0.47%
SPND-Spendcoin,--,¥5.8184,--,--,+10.97%
TALAO-Talao,--,--,--,"1,022.69万",0%
ESHIP-ESHIP,--,--,--,--,0%
FT-Fabric Token,--,--,--,"2,459.36万",0%
VDG-VeriDocGlobal,--,¥0.016625,¥4399.60,--,+4.85%
FEX-FEX Token,--,--,--,"1,184万*",0%
VPP-VPP,--,¥0.000149,¥159.19,--*,+9.38%
FMF-宝岛金融,--,¥0.009618,¥32.45万,--,-0.64%
WT-WeToken,--,¥0.006938,¥14.35万,--,-9.14%
