币种,全球指数,历史高位,高位时间,历史低位,低位时间,ATH跌幅
BTC-比特币,$3432.78,$20089,2017-12-17,$3176.57,2018-12-15,-82.91%
XRP-瑞波币,$0.3054,$3.8419,2018-01-04,$0.2820,2018-12-15,-92.05%
ETH-以太坊,$90.0596,$1587.33,2018-01-10,$82.7607,2018-12-16,-94.33%
XLM-恒星币,$0.1032,$0.9381,2018-01-04,$0.093445,2018-12-16,-89.00%
EOS-柚子,$2.1390,$24.5971,2018-01-13,$1.5440,2018-12-08,-91.30%
USDT-泰达币,$1.0027,$1.1100,2018-08-03,$0.9148,2018-11-10,-9.67%
LTC-莱特币,$28.5794,$371.77,2017-12-19,$22.7077,2018-12-08,-92.31%
BCH-比特现金,$87.8195,$4334.27,2017-12-20,$75.0564,2018-12-16,-97.97%
BCHSV-Bitcoin Cash SV(BSV),$79.0647,$215.77,2018-11-15,--,1990-01-01,-63.36%
TRX-波场,$0.013537,$0.3003,2018-01-05,$0.011136,2018-11-25,-95.49%
ADA-艾达币,$0.031038,$1.3272,2018-01-04,$0.027246,2018-12-08,-97.66%
XMR-门罗币,$41.7306,$565.79,2018-01-09,$37.4703,2018-12-15,-92.62%
MIOTA-埃欧塔,$0.2408,$5.6900,2017-12-19,$0.2130,2018-12-15,-95.77%
BNB-币安币,$4.8810,$24.9121,2018-01-12,$4.1641,2018-12-08,-80.41%
DASH-达世币,$68.7087,$1642.22,2017-12-20,$58.7764,2018-12-16,-95.82%
XEM-新经币,$0.064757,$2.0918,2018-01-04,$0.058239,2018-12-16,-96.90%
ETC-以太经典,$3.8578,$53.0443,2018-01-14,$3.3124,2018-12-07,-92.73%
NEO-小蚁,$6.2983,$196.85,2018-01-15,$5.4879,2018-12-16,-96.80%
HT-火币积分,$1.0860,$6.1043,2018-06-06,$1.0318,2018-12-08,-82.21%
ONT-本体,$0.5135,$11.1795,2018-05-03,$0.4350,2018-12-15,-95.41%
ZEC-大零币,$54.7973,$5941.80,2016-10-29,$48.1583,2018-12-15,-99.08%
MKR-Maker,$364.67,$2117.96,2018-08-03,$100.56,2018-12-14,-82.78%
DOGE-狗狗币,$0.002176,$0.018773,2018-01-07,$0.002019,2018-11-27,-88.41%
WAVES-波币,$2.4571,$18.0734,2017-12-19,$0.9617,2018-11-24,-86.40%
OKB-OK币,$0.7301,$6.4763,2018-05-19,$0.6232,2018-12-08,-88.73%
VET-唯链,$0.003799,$0.019913,2018-09-04,$0.003257,2018-12-16,-80.92%
BTG-比特黄金,$11.7224,$539.72,2017-10-23,$10.2864,2018-12-16,-97.83%
OMG-嫩模币,$1.2099,$28.3519,2018-01-08,$1.0648,2018-12-16,-95.73%
QTUM-量子链,$1.8264,$106.87,2018-01-07,$1.4859,2018-12-08,-98.29%
TUSD-True USD,$1.0034,$1.3351,2018-11-23,$0.9788,2018-11-22,-24.84%
ZRX-0x协议,$0.2833,$2.5314,2018-01-09,$0.2639,2018-12-17,-88.81%
LSK-应用链,$1.2808,$39.3100,2018-01-07,$1.1360,2018-12-15,-96.74%
XUC-雪币,$2.1208,$18.4261,2017-12-18,$1.9898,2018-12-14,-88.49%
BAT-注意力币,$0.1345,$1.1102,2018-11-02,$0.1221,2018-12-07,-87.89%
DCR-Decred,$14.8479,$220.35,2018-08-03,$11.8640,2018-12-12,-93.26%
NANO-纳诺,$0.8087,$37.6212,2018-01-02,$0.7339,2018-12-15,-97.85%
BCN-字节币,$0.000575,$0.025423,2018-05-09,$0.000508,2018-12-15,-97.74%
ZIL-Zilliqa,$0.013716,$0.2314,2018-05-10,$0.012378,2018-12-16,-94.07%
DGB-极特币,$0.009089,$0.3336,2018-08-03,$0.007554,2018-12-15,-97.28%
BTS-比特股,$0.037894,$0.9167,2018-01-02,$0.033102,2018-12-08,-95.87%
ICX-ICON,$0.2003,$12.6387,2018-01-09,$0.1814,2018-12-15,-98.42%
SC-云储币,$0.002362,$0.1117,2018-01-06,$0.002143,2018-12-15,-97.89%
FCT-公证通,$10.0656,$87.1637,2018-01-07,$3.7816,2018-11-15,-88.45%
R-Revain,$0.1804,$4.4882,2018-02-18,$0.097225,2018-12-07,-95.98%
XVG-Verge,$0.005951,$0.3005,2017-12-23,$0.005169,2018-11-25,-98.02%
AE-阿姨币,$0.3506,$18.4439,2018-08-03,$0.3136,2018-12-07,-98.10%
LINK-ChainLink,$0.2203,$1.6742,2018-08-03,$0.1953,2018-12-08,-86.84%
BTM-比原链,$0.073629,$1.2247,2018-04-23,$0.062627,2018-12-08,-93.99%
STEEM-斯蒂姆币,$0.2296,$8.5744,2018-01-03,$0.2108,2018-12-16,-97.32%
STRAT-Stratis,$0.6744,$22.5859,2018-01-08,$0.5324,2018-12-15,-97.01%
QASH-QASH,$0.1894,$2.4853,2018-01-14,$0.1834,2018-12-16,-92.38%
REP-Augur,$5.9674,$118.79,2018-01-11,$5.4649,2018-12-16,-94.98%
PPT-Populous,$1.1928,$76.4925,2018-01-28,$1.0609,2018-12-15,-98.44%
DAI-DAI,$1.0314,$1.2832,2018-11-23,$0.9559,2018-11-22,-19.62%
KMD-科莫多币,$0.5456,$15.4149,2017-12-21,$0.4880,2018-12-08,-96.46%
MAID-互联网币,$0.1325,$1.1982,2018-01-02,$0.1241,2018-12-17,-88.94%
GNT-Golem,$0.059121,$2.4761,2018-08-03,$0.055192,2018-12-16,-97.61%
ETN-Electroneum,$0.006539,$0.2362,2017-11-02,$0.005715,2018-12-08,-97.23%
CNX-Cryptonex,$0.9425,$10.5145,2018-01-28,$0.6669,2018-11-16,-91.04%
SNT-Status,$0.014599,$0.6759,2018-01-04,$0.013178,2018-12-15,-97.84%
MANA-Decentraland,$0.047264,$0.2888,2018-01-09,$0.041597,2018-12-16,-83.63%
PAY-TenX,$0.4418,$86.2600,2017-07-06,$0.2333,2018-12-07,-99.49%
ARDR-阿朵币,$0.047899,$2.5496,2018-01-16,$0.044108,2018-12-17,-98.12%
KCS-Kucoin Shares,$0.5012,$21.3001,2018-01-07,$0.4538,2018-12-15,-97.65%
ELA-亦来云,$2.9801,$95.0030,2018-02-24,$2.3324,2018-12-08,-96.86%
POLY-Polymath Network,$0.1389,$1.6579,2018-02-19,$0.1051,2018-11-25,-91.62%
WTC-沃尔顿链,$0.9356,$45.9577,2018-01-28,$0.8642,2018-12-08,-97.96%
MGO-MobileGo,$0.3650,$9.8508,2018-01-07,$0.2903,2018-12-17,-96.29%
DCN-Dentacoin,$0.000111,$0.008266,2018-01-07,$0.00006405,2018-12-07,-98.66%
QKC-QuarkChain,$0.044667,$0.2033,2018-06-11,$0.035417,2018-11-20,-78.03%
ARK-Ark,$0.3323,$10.9150,2018-01-09,$0.2893,2018-12-11,-96.96%
IOST-Internet of Services,$0.004197,$0.048334,2018-06-03,$0.003652,2018-12-15,-91.32%
ODE-ODEM,$0.1533,$0.5477,2018-08-07,$0.1481,2018-12-17,-72.01%
HC-HyperCash,$0.7584,$3.3482,2018-09-04,$0.5623,2018-12-08,-77.35%
RVN-Ravencoin,$0.013034,$0.074868,2018-08-03,$0.011608,2018-12-15,-82.59%
ETP-元界,$0.5927,$6.2400,2017-06-06,$0.5348,2018-12-15,-90.50%
ELF-ælf,$0.1050,$4.9655,2017-12-21,$0.096165,2018-12-16,-97.89%
RDD-蜗牛币,$0.001089,$0.032390,2018-01-07,$0.000927,2018-12-15,-96.64%
AION-Aion,$0.1182,$11.5080,2018-01-07,$0.1066,2018-12-15,-98.97%
BNT-Bancor,$0.4868,$23.7300,2017-06-19,$0.2420,2018-12-07,-97.95%
MCO-Crypto.com,$1.8571,$27.1000,2017-08-29,$1.6415,2018-12-16,-93.15%
PIVX-普维币,$0.5086,$14.5587,2018-01-23,$0.4696,2018-12-15,-96.51%
GXC-公信宝,$0.4779,$11.3788,2018-01-07,$0.4530,2018-12-15,-95.80%
LRC-路印协议,$0.035449,$2.5902,2018-01-09,$0.032082,2018-12-08,-98.63%
DGD-黄金代币,$13.3338,$597.65,2018-02-28,$12.4185,2018-12-15,-97.77%
XZC-小零币,$4.5990,$169.99,2017-12-26,$4.2818,2018-12-15,-97.29%
NXT-未来币,$0.026165,$2.1591,2017-12-23,$0.018499,2018-11-21,-98.79%
POWR-Power Ledger,$0.066427,$2.0111,2018-01-04,$0.059054,2018-12-16,-96.70%
SYS-系统币,$0.047429,$0.9814,2018-01-14,$0.028884,2018-12-14,-95.17%
DAC-达芬奇,$0.009722,$0.018656,2018-11-20,--,1990-01-01,-47.89%
CENNZ-Centrality,$0.030898,$0.5415,2018-04-25,$0.017619,2018-11-23,-94.29%
ENJ-恩金币,$0.032463,$0.4933,2018-01-07,$0.021232,2018-11-27,-93.42%
LOOM-Loom Network,$0.040660,$0.7744,2018-05-04,$0.037051,2018-12-15,-94.75%
ZEN-Horizen,$4.5002,$67.2950,2018-01-10,$4.0902,2018-12-16,-93.31%
MONA-萌奈币,$0.3744,$20.2339,2017-12-06,$0.3456,2018-12-15,-98.15%
VERI-Veritaseum,$11.7459,$538.97,2017-06-28,$9.2733,2018-12-15,-97.82%
CREDO-Credo,$0.042220,$0.2172,2017-09-15,$0.022408,2018-11-25,-80.56%
NAS-星云币,$0.5127,$27.9327,2017-12-19,$0.4770,2018-12-16,-98.16%
BOS-BOScoin,$0.050054,$3.6610,2017-12-19,$0.039029,2018-12-16,-98.63%
KIN-Kin,$0.00002864,$0.001493,2018-01-06,$0.00001916,2018-11-25,-98.08%
